Scott R. Adams;Be useful.;https://tim.blog/2015/09/22/scott-adams-the-man-behind-dilbert/
Wim Hof;Breathe, motherfucker.;https://tim.blog/2015/09/07/the-iceman-wim-hof/
Jocko Willink;Discipline equals freedom.;https://tim.blog/2016/09/21/jocko-willink-on-discipline-leadership-and-overcoming-doubt/
Stanley McChrystal;The purpose of life is a life of purpose. (Robert Byrne);https://tim.blog/2015/07/05/stanley-mcchrystal/
Marc Andreessen;Raise Prices.;https://tim.blog/2016/05/29/marc-andreessen/
Debbie Millman;Yes.;https://tim.blog/2017/03/25/the-secrets-tactics-and-creative-processes-of-high-performers-and-achievers-debbie-millman/
Art De Vany;Freedom counts.;https://tim.blog/2017/05/12/art-de-vany/
Larry King;Slow down!;https://tim.blog/2017/08/16/larry-king/
Cal Fussman;Be quick, but donâ€™t hurry. (John Wooden);https://tim.blog/2017/08/16/larry-king/
BJ Miller;Don't believe every thing you think.;https://tim.blog/2016/04/14/bj-miller/
Alain de Botton;Life is only 400,000 hours long. Be kind.;http://tim.blog/2015/11/10/alain-de-botton/